,meas_wm,wm_019,EPID,ELID,LOADID,locw,k1,cy,sigs,phi_eq_MC2020,rhoeff_MC2020,CS,epsin,Nrep,t
421,0.19,0.24398107227331925,19,N10-14-2,21,2,0.0,43.0,256.0,14.0,0.0153938040025899,2,1a,1,1
422,0.25,0.2944927786424049,19,N10-14-2,22,2,0.0,43.0,309.0,14.0,0.0153938040025899,2,1a,1,1
423,0.1,0.12989475702359735,19,N10-20-1,25,2,0.0,40.0,165.0,20.0,0.0314159265358979,2,1a,1,1
424,0.12,0.15036302176670963,19,N10-20-1,26,2,0.0,40.0,191.0,20.0,0.0314159265358979,2,1a,1,1
425,0.14,0.17240576841313826,19,N10-20-1,27,2,0.0,40.0,219.0,20.0,0.0314159265358979,2,1a,1,1
426,0.1,0.13068199797525548,19,N10-20-2,24,2,0.0,40.0,166.0,20.0,0.0314159265358979,2,1a,1,1
427,0.12,0.15036302176670963,19,N10-20-2,25,2,0.0,40.0,191.0,20.0,0.0314159265358979,2,1a,1,1
428,0.14,0.17398025031645462,19,N10-20-2,26,2,0.0,40.0,221.0,20.0,0.0314159265358979,2,1a,1,1
429,0.14,0.16689508175153112,19,N10-20-2,27,2,0.0,40.0,212.0,20.0,0.0314159265358979,2,1a,1,1
430,0.09,0.13225647987857184,19,N10-20-3,27,2,0.0,40.0,168.0,20.0,0.0314159265358979,2,1a,1,1
431,0.13,0.17476749126811275,19,N10-20-3,28,2,0.0,40.0,222.0,20.0,0.0314159265358979,2,1a,1,1
432,0.14,0.2568148419797013,19,N12-10-1,7,2,0.0,45.0,310.0,10.0,0.0078539816339744,1,1a,1,1
433,0.15,0.2675844966433662,19,N12-10-1,8,2,0.0,45.0,323.0,10.0,0.0078539816339744,1,1a,1,1
434,0.17,0.28746693602243983,19,N12-10-1,9,2,0.0,45.0,347.0,10.0,0.0078539816339744,1,1a,1,1
435,0.16,0.2692413665916223,19,N12-10-1,12,2,0.0,45.0,325.0,10.0,0.0078539816339744,1,1a,1,1
436,0.18,0.2675844966433662,19,N12-10-1,16,2,0.0,45.0,323.0,10.0,0.0078539816339744,1,1a,1,1
437,0.19,0.2642707567468539,19,N12-10-1,20,2,0.0,45.0,319.0,10.0,0.0078539816339744,1,1a,1,1
438,0.21,0.2841531961259276,19,N12-10-1,23,2,0.0,45.0,343.0,10.0,0.0078539816339744,1,1a,1,1
439,0.18,0.26592762669511005,19,N12-10-2,8,2,0.0,45.0,321.0,10.0,0.0078539816339744,1,1a,1,1
440,0.2,0.27504041141051877,19,N12-10-2,12,2,0.0,45.0,332.0,10.0,0.0078539816339744,1,1a,1,1
441,0.22,0.28746693602243983,19,N12-10-2,13,2,0.0,45.0,347.0,10.0,0.0078539816339744,1,1a,1,1
442,0.19,0.25598640700557324,19,N12-10-2,16,2,0.0,45.0,309.0,10.0,0.0078539816339744,1,1a,1,1
443,0.23,0.289123805970696,19,N12-10-2,17,2,0.0,45.0,349.0,10.0,0.0078539816339744,1,1a,1,1
444,0.21,0.26344232177272586,19,N12-10-2,19,2,0.0,45.0,318.0,10.0,0.0078539816339744,1,1a,1,1
445,0.15,0.26592762669511005,19,N12-10-3,8,2,0.0,45.0,321.0,10.0,0.0078539816339744,1,1a,1,1
446,0.19,0.27669728135877497,19,N12-10-3,12,2,0.0,45.0,334.0,10.0,0.0078539816339744,1,1a,1,1
447,0.21,0.277525716332903,19,N12-10-3,15,2,0.0,45.0,335.0,10.0,0.0078539816339744,1,1a,1,1
448,0.14,0.15800583422305833,19,N12-14-1,28,2,0.0,43.0,225.0,14.0,0.0153938040025899,1,1a,1,1
449,0.1,0.13764063781208635,19,N12-14-1,23,2,0.0,43.0,196.0,14.0,0.0153938040025899,1,1a,1,1
450,0.07,0.11516869694480697,19,N12-14-1,18,2,0.0,43.0,164.0,14.0,0.0153938040025899,1,1a,1,1
451,0.07,0.1207866821616268,19,N12-14-1,19,2,0.0,43.0,172.0,14.0,0.0153938040025899,1,1a,1,1
452,0.11,0.14606761563731616,19,N12-14-1,24,2,0.0,43.0,208.0,14.0,0.0153938040025899,1,1a,1,1
453,0.09,0.12710691553054915,19,N12-14-1,22,2,0.0,43.0,181.0,14.0,0.0153938040025899,1,1a,1,1
454,0.13,0.14676986378941861,19,N12-14-1,27,2,0.0,43.0,209.0,14.0,0.0153938040025899,1,1a,1,1
455,0.07,0.12008443400952433,19,N12-14-1,9,2,0.0,43.0,171.0,14.0,0.0153938040025899,1,1a,1,1
456,0.12,0.13272490074736898,19,N12-14-1,26,2,0.0,43.0,189.0,14.0,0.0153938040025899,1,1a,1,1
457,0.23,0.20505646041392459,19,N12-14-1,30,2,0.0,43.0,292.0,14.0,0.0153938040025899,1,1a,1,1
458,0.19,0.18328676769874766,19,N12-14-1,29,2,0.0,43.0,261.0,14.0,0.0153938040025899,1,1a,1,1
459,0.07,0.12008443400952433,19,N12-14-1,16,2,0.0,43.0,171.0,14.0,0.0153938040025899,1,1a,1,1
460,0.14,0.151685600854136,19,N12-14-1,25,2,0.0,43.0,216.0,14.0,0.0153938040025899,1,1a,1,1
461,0.08,0.12008443400952433,19,N12-14-1,21,2,0.0,43.0,171.0,14.0,0.0153938040025899,1,1a,1,1
462,0.07,0.11938218585742184,19,N12-14-1,13,2,0.0,43.0,170.0,14.0,0.0153938040025899,1,1a,1,1
463,0.1,0.11446644879270448,19,N12-14-2,19,2,0.0,43.0,163.0,14.0,0.0153938040025899,1,1a,1,1
464,0.25,0.20575870856602707,19,N12-14-2,26,2,0.0,43.0,293.0,14.0,0.0153938040025899,1,1a,1,1
465,0.11,0.11938218585742184,19,N12-14-2,17,2,0.0,43.0,170.0,14.0,0.0153938040025899,1,1a,1,1
466,0.1,0.12008443400952433,19,N12-14-2,13,2,0.0,43.0,171.0,14.0,0.0153938040025899,1,1a,1,1
467,0.2,0.18328676769874766,19,N12-14-2,25,2,0.0,43.0,261.0,14.0,0.0153938040025899,1,1a,1,1
468,0.16,0.1601125786793658,19,N12-14-2,23,2,0.0,43.0,228.0,14.0,0.0153938040025899,1,1a,1,1
469,0.18,0.1734552935693129,19,N12-14-2,24,2,0.0,43.0,247.0,14.0,0.0153938040025899,1,1a,1,1
470,0.11,0.12570241922634418,19,N12-14-2,20,2,0.0,43.0,179.0,14.0,0.0153938040025899,1,1a,1,1
471,0.14,0.14957885639782853,19,N12-14-2,22,2,0.0,43.0,213.0,14.0,0.0153938040025899,1,1a,1,1
472,0.13,0.13764063781208635,19,N12-14-2,21,2,0.0,43.0,196.0,14.0,0.0153938040025899,1,1a,1,1
473,0.29,0.310694646723055,19,N12-14-2,27,2,0.0,43.0,326.0,14.0,0.0153938040025899,2,1a,1,1
474,0.22,0.310694646723055,19,N12-14-3,34,2,0.0,43.0,326.0,14.0,0.0153938040025899,2,1a,1,1
475,0.09,0.12008443400952433,19,N12-14-3,15,2,0.0,43.0,171.0,14.0,0.0153938040025899,1,1a,1,1
476,0.17,0.1825845195466452,19,N12-14-3,30,2,0.0,43.0,260.0,14.0,0.0153938040025899,1,1a,1,1
477,0.09,0.11516869694480697,19,N12-14-3,8,2,0.0,43.0,164.0,14.0,0.0153938040025899,1,1a,1,1
478,0.09,0.12780916368265163,19,N12-14-3,22,2,0.0,43.0,182.0,14.0,0.0153938040025899,1,1a,1,1
479,0.09,0.11938218585742184,19,N12-14-3,12,2,0.0,43.0,170.0,14.0,0.0153938040025899,1,1a,1,1
480,0.1,0.12780916368265163,19,N12-14-3,16,2,0.0,43.0,182.0,14.0,0.0153938040025899,1,1a,1,1
481,0.09,0.11938218585742184,19,N12-14-3,21,2,0.0,43.0,170.0,14.0,0.0153938040025899,1,1a,1,1
482,0.11,0.13974738226839378,19,N12-14-3,27,2,0.0,43.0,199.0,14.0,0.0153938040025899,1,1a,1,1
483,0.1,0.13764063781208635,19,N12-14-3,26,2,0.0,43.0,196.0,14.0,0.0153938040025899,1,1a,1,1
484,0.21,0.2963988807695402,19,N12-14-3,33,2,0.0,43.0,311.0,14.0,0.0153938040025899,2,1a,1,1
485,0.1,0.1250001710742417,19,N12-14-3,25,2,0.0,43.0,178.0,14.0,0.0153938040025899,1,1a,1,1
486,0.11,0.14957885639782853,19,N12-14-3,28,2,0.0,43.0,213.0,14.0,0.0153938040025899,1,1a,1,1
487,0.09,0.113764200640602,19,N12-14-3,18,2,0.0,43.0,162.0,14.0,0.0153938040025899,1,1a,1,1
488,0.2,0.20575870856602707,19,N12-14-3,31,2,0.0,43.0,293.0,14.0,0.0153938040025899,1,1a,1,1
489,0.1,0.13764063781208635,19,N12-14-3,23,2,0.0,43.0,196.0,14.0,0.0153938040025899,1,1a,1,1
490,0.13,0.1601125786793658,19,N12-14-3,29,2,0.0,43.0,228.0,14.0,0.0153938040025899,1,1a,1,1
491,0.15,0.17161852746148012,19,N12-20-1,35,2,0.0,40.0,218.0,20.0,0.0314159265358979,2,1a,1,1
492,0.1,0.09107134798656041,19,N12-20-1,33,2,0.0,40.0,157.0,20.0,0.0314159265358979,1,1a,1,1
493,0.13,0.1487885398633933,19,N12-20-1,34,2,0.0,40.0,189.0,20.0,0.0314159265358979,2,1a,1,1
494,0.15,0.15744819033163313,19,N12-20-2,31,2,0.0,40.0,200.0,20.0,0.0314159265358979,2,1a,1,1
495,0.1,0.09107134798656041,19,N12-20-2,29,2,0.0,40.0,157.0,20.0,0.0314159265358979,1,1a,1,1
496,0.14,0.1487885398633933,19,N12-20-2,30,2,0.0,40.0,189.0,20.0,0.0314159265358979,2,1a,1,1
497,0.17,0.17161852746148012,19,N12-20-2,33,2,0.0,40.0,218.0,20.0,0.0314159265358979,2,1a,1,1
498,0.16,0.16217163604158213,19,N12-20-2,32,2,0.0,40.0,206.0,20.0,0.0314159265358979,2,1a,1,1
499,0.14,0.14957578081505146,19,N12-20-3,19,2,0.0,40.0,190.0,20.0,0.0314159265358979,2,1a,1,1
500,0.15,0.15666094937997496,19,N12-20-3,20,2,0.0,40.0,199.0,20.0,0.0314159265358979,2,1a,1,1
501,0.11,0.09107134798656041,19,N12-20-3,18,2,0.0,40.0,157.0,20.0,0.0314159265358979,1,1a,1,1
502,0.17,0.17161852746148012,19,N12-20-3,21,2,0.0,40.0,218.0,20.0,0.0314159265358979,2,1a,1,1
503,0.16,0.22119213809219432,19,N20-10-1,15,2,0.0,45.0,267.0,10.0,0.0078539816339744,1,1a,1,1
504,0.17,0.2352755326523715,19,N20-10-1,12,2,0.0,45.0,284.0,10.0,0.0078539816339744,1,1a,1,1
505,0.18,0.25018736218667675,19,N20-10-1,20,2,0.0,45.0,302.0,10.0,0.0078539816339744,1,1a,1,1
506,0.13,0.2004812637389926,19,N20-10-1,10,2,0.0,45.0,242.0,10.0,0.0078539816339744,1,1a,1,1
507,0.2,0.2742119764363907,19,N20-10-1,21,2,0.0,45.0,331.0,10.0,0.0078539816339744,1,1a,1,1
508,0.16,0.22036370311806627,19,N20-10-1,18,2,0.0,45.0,266.0,10.0,0.0078539816339744,1,1a,1,1
