,meas_smax,smax_047,EPID,ELID,LOADID,locw,k1,cy,sigs,phi_eq_MC2020,rhoeff_MC2020,CS,epsin,Nrep,t
98,170.0,315.63806855380443,3,T7,6,2,9.785344513866916,40.0,303.2759328902769,32.0,0.0410330469040299,2,2,14,1
102,300.0,173.30293323137911,4,PL 15/210,4,2,2.248269440915533,15.0,341.58162732875564,10.0,0.0112199737628206,2,2,1,1
105,280.0,144.49842422590913,4,PL 15/221,3,2,2.3340639589944043,16.0,292.92455816193325,8.0,0.0110647288428319,2,2,14,1
108,200.0,137.4452939747133,4,PL 15/239,5,2,1.3936780703573353,16.5,243.8584970581364,8.0,0.0109732848028085,2,2,14,1
113,240.0,185.67845439733807,4,PL 15/255,7,2,5.119245400764625,16.0,327.3509133740737,12.0,0.0122399713776225,2,2,1,1
117,320.0,242.05549226962995,4,PL 30/204,5,2,2.9672875820756213,16.0,291.26478872263954,16.0,0.0161729351536154,2,2,1,1
121,300.0,241.70690729592897,4,PL 30/240,5,2,3.768512058751264,16.600000000000023,309.1558711714947,16.0,0.0147798357686636,2,2,1,1
126,320.0,240.46298390788846,4,PL 30/256,7,2,5.972756862667964,17.0,328.204281362172,16.0,0.0159572960182338,2,2,1,1
133,265.0,204.95017760764893,21,B1-a,8,2,1.424035612113204,40.0,344.58586497226656,16.0,0.0125663706143591,2,2,1,1
140,248.0,203.86247313180843,21,B1-b,7,2,1.4089228609382758,40.0,344.41896844652706,16.0,0.0125663706143591,2,2,1,1
147,212.0,199.95750091259026,21,B2-a,7,2,1.5513916996021786,25.0,343.576976295536,16.0,0.0157460983498901,2,2,1,1
155,266.0,199.4020478562291,21,B2-b,8,2,1.539140962465119,25.0,343.44946952020206,16.0,0.0157460983498901,2,2,1,1
164,191.0,178.4946074081865,21,B3-a,9,2,2.0172933326924336,25.0,321.8951306073301,16.0,0.0213517093624509,2,2,1,1
174,165.0,178.44003032190062,21,B3-b,11,2,2.013574622212445,25.0,321.86114466660456,16.0,0.0213517093624509,2,2,1,1
183,172.0,157.99492726794236,21,S2-a,5,2,1.5044192914613328,25.0,348.7818673950678,12.0,0.0112303722556499,2,2,1,1
188,179.0,157.88573962930423,21,S2-b,5,2,1.5019636339065097,25.0,348.75365943926323,12.0,0.0112303722556499,2,2,1,1
