,meas_wmax,wmax_001b,EPID,ELID,LOADID,locw,k1,cy,sigs,phi_eq_MC2020,rhoeff_MC2020,CS,epsin,Nrep,t
253,0.122,0.22740356948731635,19,N10-10-2,11,2,0.0,45.0,234.0,10.0,0.0078539816339744,1,1a,1,1
254,0.195,0.2555860631417273,19,N10-10-2,12,2,0.0,45.0,263.0,10.0,0.0078539816339744,1,1a,1,1
255,0.208,0.27307864540998245,19,N10-10-2,13,2,0.0,45.0,281.0,10.0,0.0078539816339744,1,1a,1,1
256,0.338,0.29737389856033675,19,N10-10-2,14,2,0.0,45.0,306.0,10.0,0.0078539816339744,1,1a,1,1
257,0.338,0.3002893289383793,19,N10-10-2,15,2,0.0,45.0,309.0,10.0,0.0078539816339744,1,1a,1,1
258,0.243,0.23906529099948642,19,N10-10-2,16,2,0.0,45.0,246.0,10.0,0.0078539816339744,1,1a,1,1
259,0.208,0.2740504555359966,19,N10-10-2,17,2,0.0,45.0,282.0,10.0,0.0078539816339744,1,1a,1,1
260,0.338,0.29931751881236507,19,N10-10-2,18,2,0.0,45.0,308.0,10.0,0.0078539816339744,1,1a,1,1
261,0.34,0.32458458208873364,19,N10-10-2,19,2,0.0,45.0,334.0,10.0,0.0078539816339744,1,1a,1,1
262,0.377,0.32944363271880445,19,N10-10-2,20,2,0.0,45.0,339.0,10.0,0.0078539816339744,1,1a,1,1
263,0.253,0.26919140490592575,19,N10-10-2,21,2,0.0,45.0,277.0,10.0,0.0078539816339744,1,1a,1,1
264,0.338,0.29931751881236507,19,N10-10-2,22,2,0.0,45.0,308.0,10.0,0.0078539816339744,1,1a,1,1
265,0.377,0.3304154428448186,19,N10-10-2,23,2,0.0,45.0,340.0,10.0,0.0078539816339744,1,1a,1,1
266,0.253,0.2682195947799116,19,N10-10-3,4,2,0.0,45.0,276.0,10.0,0.0078539816339744,1,1a,1,1
267,0.228,0.24781158213361396,19,N10-10-3,6,2,0.0,45.0,255.0,10.0,0.0078539816339744,1,1a,1,1
268,0.253,0.2682195947799116,19,N10-10-3,7,2,0.0,45.0,276.0,10.0,0.0078539816339744,1,1a,1,1
