,meas_smax,smax_095,EPID,ELID,LOADID,locw,k1,cy,sigs,phi_eq_MC2020,rhoeff_MC2020,CS,epsin,Nrep,t
161,300.0,158.14697445633158,2,R68,7,2,0.0,28.0,300.82934744331106,26.0,0.0369985476276428,2,2,1,1
168,190.0,129.92709184073556,3,T12,11,1,0.0,25.0,291.9789584534265,32.0,0.0560451372347726,2,2,1,1
175,180.0,129.92709184073556,3,T12,11,2,0.0,25.0,291.9789584534265,32.0,0.0560451372347726,2,2,1,1
180,200.0,122.91583239005854,3,T21,7,1,0.0,35.0,341.66975002144864,16.0,0.032692996720284,2,2,1,1
185,200.0,122.91583239005854,3,T21,7,2,0.0,35.0,341.66975002144864,16.0,0.032692996720284,2,2,1,1
190,210.0,109.77552164770046,3,T27,6,1,0.0,34.0,307.7601155655561,16.0,0.0467585883324992,2,2,14,1
195,210.0,109.77552164770046,3,T27,6,2,0.0,34.0,307.7601155655561,16.0,0.0467585883324992,2,2,14,1
199,170.0,151.9364852161507,3,T7,6,1,0.0,40.0,303.275932890277,32.0,0.0410330469040299,2,2,14,1
203,170.0,151.9364852161507,3,T7,6,2,0.0,40.0,303.275932890277,32.0,0.0410330469040299,2,2,14,1
207,300.0,143.86307468557226,4,PL 15/210,4,2,0.0,15.0,341.58162732875564,10.0,0.0112199737628206,2,2,1,1
210,280.0,114.72298150630712,4,PL 15/221,3,2,0.0,16.0,292.92455816193325,8.0,0.0110647288428319,2,2,14,1
213,250.0,137.02256460966768,4,PL 15/239,5,2,0.0,16.5,243.8584970581364,8.0,0.0109732848028085,2,2,14,1
218,240.0,118.25384575741214,4,PL 15/255,7,2,0.0,16.0,327.3509133740737,12.0,0.0122399713776225,2,2,1,1
222,320.0,166.07946148195384,4,PL 30/204,5,2,0.0,16.0,291.26478872263954,16.0,0.0161729351536154,2,2,1,1
226,300.0,158.51411127618255,4,PL 30/240,5,2,0.0,16.600000000000023,309.1558711714947,16.0,0.0147798357686636,2,2,1,1
231,320.0,124.16347941581651,4,PL 30/256,7,2,0.0,17.0,328.204281362172,16.0,0.0159572960182338,2,2,1,1
237,203.0,207.60566573374695,6,B3,7,1,0.0,35.0,276.37030428997315,16.0,0.021795331146856,2,2,10000,1
238,235.0,194.8541588332953,6,B4,2,1,0.0,35.0,275.8007277544337,16.0,0.021795331146856,2,2,1,1
242,184.0,187.58359205444737,6,B5,5,1,0.0,35.0,276.3105447558619,22.0,0.0324899753063559,2,2,1000,1
248,225.0,181.19389623456487,6,B6,5,1,0.0,35.0,275.4852032479558,22.0,0.0324899753063559,2,2,1000,1
255,238.0,178.67778651381494,6,T10,3,1,0.0,43.0,276.5044871117841,16.0,0.020464318557735,2,2,1000,1
257,208.0,156.2307756634671,6,T11,3,1,0.0,36.0,273.0142502467414,16.0,0.0216195623472846,2,2,1000,1
259,229.0,196.89398026237205,6,6T12,3,1,0.0,46.0,277.9637447229746,16.0,0.0200061621721141,2,2,1000,1
261,202.0,141.66759793664733,6,T15,3,1,0.0,30.0,275.04426187123977,28.0,0.0533118753336449,2,2,1000,1
262,263.0,196.26737021876235,6,T2,1,1,0.0,38.0,194.52093300409408,12.0,0.0160421752523734,2,2,1,1
